pkg_name,version,version_type,publish_date,licenses,vuln_high,vuln_medium,vuln_low,vuln_critical
pillow,8.3.2,Latest,2021-09-02,HPND,0,0,0,0
pillow,8.3.1,,2021-07-06,HPND,0,2,0,0
pillow,8.3.0,,2021-07-01,HPND,0,2,0,0
pillow,8.2.0,,2021-04-01,HPND,0,2,1,0
pillow,8.1.2,,2021-03-06,HPND,0,8,1,0
pillow,8.1.1,,2021-03-02,HPND,0,11,1,0
pillow,8.1.0,,2021-01-02,HPND,0,15,1,0
pillow,8.0.1,,2020-10-22,HPND,0,17,2,0
pillow,8.0.0,,2020-10-14,HPND,0,17,2,0
pillow,7.2.0,,2020-06-30,HPND,0,17,2,0
pillow,7.1.2,,2020-04-25,HPND,0,17,2,0
pillow,7.1.1,,2020-04-02,HPND,0,17,2,0
pillow,7.1.0,,2020-04-01,HPND,0,17,2,0
pillow,7.0.0,,2020-01-02,HPND,0,16,7,0
pillow,6.2.2,,2020-01-02,HPND,0,16,7,0
pillow,6.2.1,,2019-10-21,HPND,0,20,8,0
pillow,6.2.0,,2019-10-01,HPND,0,20,8,0
pillow,6.1.0,,2019-07-03,CAL-1.0,0,20,8,0
pillow,6.0.0,,2019-04-02,CAL-1.0,0,20,8,0
pillow,5.4.1,,2019-01-06,Unknown,0,20,7,0
pillow,5.4.0.dev0,,2019-01-01,Unknown,0,20,7,0
pillow,5.4.0,,2019-01-01,Unknown,0,20,7,0
pillow,5.3.0,,2018-10-01,Unknown,0,20,7,0
pillow,5.2.0,,2018-07-01,Unknown,0,20,7,0
pillow,5.1.0,,2018-04-02,Unknown,0,19,7,0
pillow,5.0.0,,2018-01-01,Unknown,0,19,7,1
pillow,4.3.0,,2017-10-02,Unknown,0,19,7,0
pillow,4.2.1,,2017-07-06,Unknown,0,18,7,0
pillow,4.2.0,,2017-07-01,Unknown,0,18,7,0
pillow,4.1.1,,2017-04-28,Unknown,0,18,7,0
pillow,4.1.0,,2017-04-04,Unknown,0,18,7,0
pillow,4.0.0,,2017-01-02,Unknown,0,18,7,0
pillow,3.4.2,,2016-10-18,Unknown,0,18,7,1
pillow,3.4.1,,2016-10-04,Unknown,0,18,7,0
pillow,3.3.3,,2016-10-04,Unknown,0,18,7,0
pillow,3.4.0,,2016-10-03,Unknown,0,18,7,0
pillow,3.3.2,,2016-10-03,Unknown,0,18,7,0
pillow,3.3.1,,2016-08-18,Unknown,0,18,7,0
pillow,3.3.0,,2016-07-01,Unknown,0,18,7,0
pillow,3.2.0,,2016-04-01,Unknown,0,18,7,0
pillow,3.1.2,,2016-04-01,Unknown,0,18,7,0
pillow,3.1.1,,2016-02-04,Unknown,0,18,7,0
pillow,3.1.0,,2016-01-04,Unknown,0,18,7,0
pillow,3.1.0rc1,Pre-release,2016-01-02,Unknown,0,18,7,0
pillow,3.1.0.rc1,Pre-release,2016-01-01,Unknown,0,18,7,0
pillow,3.0.0,,2015-10-01,Unknown,0,18,7,0
pillow,2.9.0,,2015-07-01,Unknown,0,18,7,0
pillow,2.8.2,,2015-06-07,Unknown,0,18,7,0
pillow,2.8.1,,2015-04-02,Unknown,0,18,7,0
pillow,2.8.0,,2015-04-01,Unknown,0,18,7,1
pillow,2.7.0,,2015-01-01,Unknown,0,18,7,0
pillow,2.6.2,,2015-01-01,Unknown,0,18,7,0
pillow,2.6.1,,2014-10-13,Unknown,0,18,7,0
pillow,2.6.0,,2014-10-01,Unknown,0,18,7,0
pillow,2.5.3,,2014-08-18,Unknown,0,18,7,0
pillow,2.3.2,,2014-08-13,Unknown,1,16,7,1
pillow,2.5.2,,2014-08-13,Unknown,0,18,7,0
pillow,2.5.1,,2014-07-10,Unknown,0,18,7,0
pillow,2.5.0,,2014-07-01,Unknown,0,18,7,0
pillow,2.4.0,,2014-04-01,Unknown,1,18,7,1
pillow,2.3.1,,2014-03-15,Unknown,1,16,7,1
pillow,2.3.0,,2014-01-01,Unknown,1,16,7,1
pillow,2.2.2,,2013-12-16,Unknown,1,16,7,1
pillow,2.2.1,,2013-10-02,Unknown,1,16,7,1
pillow,2.2.0,,2013-10-02,Unknown,1,16,7,1
pillow,2.1.0,,2013-07-02,Unknown,1,16,7,1
pillow,2.0.0,,2013-03-15,Unknown,1,16,7,1
pillow,1.7.8,,2012-11-01,Unknown,1,16,7,1
pillow,1.7.7,,2012-04-05,Unknown,1,16,7,1
pillow,1.7.6,,2012-01-21,Unknown,1,16,7,1
pillow,1.7.5,,2011-09-07,Unknown,1,16,7,1
pillow,1.7.4,,2011-07-21,Unknown,1,16,7,1
pillow,1.7.3,,2011-07-21,Unknown,1,16,7,1
pillow,1.7.2,,2011-06-02,Unknown,1,16,7,1
pillow,1.7.1,,2011-05-31,Unknown,1,16,7,1
pillow,1.7.0,,2011-05-28,Unknown,1,16,7,1
pillow,1.6,,2010-12-01,Unknown,1,16,7,1
pillow,1.5,,2010-11-28,Unknown,1,16,7,1
pillow,1.4,,2010-11-28,Unknown,1,16,7,1
pillow,1.3,,2010-11-28,Unknown,1,16,7,1
pillow,1.2,,2010-08-02,MIT,1,16,7,1
pillow,1.1,,2010-08-01,MIT,1,16,7,2
pillow,1,,2010-07-31,MIT,1,16,7,1
pyramid,2,Latest,2021-03-01,BSD-2-Clause,0,0,0,0
pyramid,1.10.8,,2021-03-01,BSD-2-Clause,0,0,0,0
pyramid,1.10.7,,2021-02-20,BSD-2-Clause,0,0,0,0
pyramid,2.0b1,Pre-release,2021-02-20,BSD-2-Clause,0,0,0,0
pyramid,1.10.6,,2021-02-20,BSD-2-Clause,0,0,0,0
pyramid,2.0b0,Pre-release,2020-12-16,BSD-2-Clause,0,0,0,0
pyramid,2.0a0,Pre-release,2020-11-30,BSD-2-Clause,0,0,0,0
pyramid,1.10.5,,2020-11-09,BSD-2-Clause,0,0,0,0
pyramid,1.10.4,,2019-04-16,BSD-2-Clause,0,0,0,0
pyramid,1.10.3,,2019-04-12,BSD-2-Clause,0,0,0,0
pyramid,1.10.2,,2019-01-31,BSD-2-Clause,0,0,0,0
pyramid,1.9.4,,2019-01-31,BSD-2-Clause,0,0,0,0
pyramid,1.10.1,,2018-11-07,BSD-2-Clause,0,0,0,0
pyramid,1.1,,2018-10-31,BSD-2-Clause,0,0,0,0
pyramid,1.9.3,,2018-10-31,BSD-2-Clause,0,0,0,0
pyramid,1.8.6,,2018-10-31,BSD-2-Clause,0,0,0,0
pyramid,1.10b1,Pre-release,2018-10-28,BSD-2-Clause,0,0,0,0
pyramid,1.10a1,Pre-release,2018-10-16,BSD-2-Clause,0,0,0,0
pyramid,1.9.2,,2018-04-24,BSD-2-Clause,0,0,0,0
pyramid,1.9.1,,2017-07-14,BSD-2-Clause,0,0,0,0
pyramid,1.8.5,,2017-07-14,BSD-2-Clause,0,0,0,0
pyramid,1.9,,2017-06-27,BSD-2-Clause,0,0,0,0
pyramid,1.9b1,Pre-release,2017-06-20,BSD-2-Clause,0,0,0,0
pyramid,1.8.4,,2017-06-11,BSD-2-Clause,0,0,0,0
pyramid,1.7.6,,2017-06-11,BSD-2-Clause,0,0,0,0
pyramid,1.9a2,Pre-release,2017-05-09,BSD-2-Clause,0,0,0,0
pyramid,1.9a1,Pre-release,2017-05-02,BSD-2-Clause,0,0,0,0
pyramid,1.8.3,,2017-03-13,BSD-2-Clause,0,0,0,0
pyramid,1.7.5,,2017-03-13,BSD-2-Clause,0,0,0,2
pyramid,1.8.2,,2017-02-20,BSD-2-Clause,0,0,0,0
pyramid,1.8.1,,2017-01-25,BSD-2-Clause,0,0,0,0
pyramid,1.7.4,,2017-01-25,BSD-2-Clause,0,0,0,0
pyramid,1.6.5,,2017-01-25,BSD-2-Clause,0,0,0,0
pyramid,1.8,,2017-01-22,BSD-2-Clause,0,0,0,0
pyramid,1.8b1,Pre-release,2017-01-17,BSD-2-Clause,0,0,0,0
pyramid,1.8a1,Pre-release,2016-12-26,BSD-2-Clause,0,0,0,0
pyramid,1.7.3,,2016-08-17,BSD-2-Clause,0,0,0,0
pyramid,1.6.4,,2016-08-17,BSD-2-Clause,0,0,0,0
pyramid,1.7.2,,2016-08-17,BSD-2-Clause,0,0,0,0
pyramid,1.6.3,,2016-08-17,BSD-2-Clause,0,0,0,0
pyramid,1.7.1,,2016-08-16,BSD-2-Clause,0,0,0,0
pyramid,1.6.2,,2016-08-16,BSD-2-Clause,0,0,0,0
pyramid,1.7,,2016-05-20,BSD-2-Clause,0,0,0,0
pyramid,1.7b4,Pre-release,2016-05-12,BSD-2-Clause,0,0,0,0
pyramid,1.7b3,Pre-release,2016-05-10,BSD-2-Clause,0,0,0,0
pyramid,1.7b2,Pre-release,2016-05-01,BSD-2-Clause,0,0,0,0
pyramid,1.7b1,Pre-release,2016-04-25,BSD-2-Clause,0,0,0,0
pyramid,1.7a2,Pre-release,2016-04-20,BSD-2-Clause,0,0,0,0
pyramid,1.7a1,Pre-release,2016-04-16,BSD-2-Clause,0,0,0,0
pyramid,1.6.1,,2016-02-03,BSD-2-Clause,0,0,0,0
pyramid,1.5.8,,2016-01-07,BSD-2-Clause,0,0,2,0
pyramid,1.6,,2016-01-03,BSD-2-Clause,0,0,0,0
pyramid,1.6b3,Pre-release,2015-12-18,BSD-2-Clause,0,0,0,0
pyramid,1.6b2,Pre-release,2015-11-16,BSD-2-Clause,0,0,0,0
pyramid,1.6b1,Pre-release,2015-11-16,BSD-2-Clause,0,0,0,0
pyramid,1.6a2,Pre-release,2015-06-30,BSD-2-Clause,0,0,0,0
pyramid,1.5.7,,2015-04-29,BSD-2-Clause,0,0,2,0
pyramid,1.4.9,,2015-04-29,BSD-2-Clause,0,0,2,0
pyramid,1.6a1,Pre-release,2015-04-15,BSD-2-Clause,0,0,1,0
pyramid,1.5.6,,2015-04-15,BSD-2-Clause,0,0,2,0
pyramid,1.4.8,,2015-04-15,BSD-2-Clause,0,0,2,0
pyramid,1.5.5,,2015-04-15,BSD-2-Clause,0,0,2,0
pyramid,1.4.7,,2015-04-14,BSD-2-Clause,0,0,2,0
pyramid,1.5.4,,2015-02-25,BSD-2-Clause,0,0,2,0
pyramid,1.5.3,,2015-02-22,BSD-2-Clause,0,0,2,0
pyramid,1.5.2,,2014-11-10,BSD-2-Clause,0,0,2,0
pyramid,1.5.1,,2014-06-01,BSD-2-Clause,0,0,2,0
pyramid,1.4.6,,2014-06-01,BSD-2-Clause,0,0,2,0
pyramid,1.5,,2014-04-08,BSD-2-Clause,0,0,2,0
pyramid,1.5b1,Pre-release,2014-02-08,BSD-2-Clause,0,0,2,0
pyramid,1.5a4,Pre-release,2014-01-29,BSD-2-Clause,0,0,2,0
pyramid,1.5a3,Pre-release,2013-12-10,BSD-2-Clause,0,0,2,0
pyramid,1.5a2,Pre-release,2013-09-22,BSD-2-Clause,0,0,2,0
pyramid,1.5a1,Pre-release,2013-08-30,BSD-2-Clause,0,0,2,0
pyramid,1.4.5,,2013-08-30,BSD-2-Clause,0,0,2,0
pyramid,1.4.4,,2013-08-27,BSD-2-Clause,0,0,2,0
pyramid,1.4.3,,2013-07-18,BSD-2-Clause,0,0,2,0
pyramid,1.4.2,,2013-05-22,BSD-2-Clause,0,0,2,0
pyramid,1.4.1,,2013-04-23,BSD-2-Clause,0,0,2,0
pyramid,1.4,,2012-12-18,BSD-2-Clause,0,0,2,0
pyramid,1.4b3,Pre-release,2012-12-11,BSD-2-Clause,0,0,2,0
pyramid,1.4b2,Pre-release,2012-12-10,BSD-2-Clause,0,0,2,0
pyramid,1.4b1,Pre-release,2012-11-22,BSD-2-Clause,0,0,2,0
pyramid,1.4a4,Pre-release,2012-11-14,BSD-2-Clause,0,0,2,0
pyramid,1.4a3,Pre-release,2012-10-26,BSD-2-Clause,0,0,2,0
pyramid,1.4a2,Pre-release,2012-09-27,BSD-2-Clause,0,0,2,0
pyramid,1.4a1,Pre-release,2012-09-17,BSD-2-Clause,0,0,2,0
pyramid,1.3.4,,2012-09-16,BSD-2-Clause,0,0,2,0
pyramid,1.3.3,,2012-08-11,BSD-2-Clause,0,0,2,0
pyramid,1.3.2,,2012-05-20,BSD-2-Clause,0,0,2,0
pyramid,1.3.1,,2012-05-19,BSD-2-Clause,0,0,2,0
pyramid,1.3,,2012-03-21,BSD-2-Clause,0,0,2,0
pyramid,1.3b3,Pre-release,2012-03-17,BSD-2-Clause,0,0,2,0
pyramid,1.3b2,Pre-release,2012-03-02,BSD-2-Clause,0,0,2,0
pyramid,1.3b1,Pre-release,2012-02-26,BSD-2-Clause,0,0,2,0
pyramid,1.3a9,Pre-release,2012-02-23,BSD-2-Clause,0,0,2,0
pyramid,1.3a8,Pre-release,2012-02-19,BSD-2-Clause,0,0,2,0
pyramid,1.3a7,Pre-release,2012-02-08,BSD-2-Clause,0,0,2,0
pyramid,1.3a6,Pre-release,2012-01-20,BSD-2-Clause,0,0,2,0
pyramid,1.2.7,,2012-01-20,BSD-2-Clause,0,0,3,0
pyramid,1.3a5,Pre-release,2012-01-09,BSD-2-Clause,0,0,2,0
pyramid,1.3a4,Pre-release,2012-01-05,BSD-2-Clause,0,0,2,0
pyramid,1.2.6,,2012-01-05,BSD-2-Clause,0,0,3,0
pyramid,1.3a3,Pre-release,2011-12-21,BSD-2-Clause,0,0,2,0
pyramid,1.2.5,,2011-12-15,BSD-2-Clause,0,0,3,0
pyramid,1.1.3,,2011-12-15,BSD-2-Clause,0,0,3,0
pyramid,1.0.2,,2011-12-15,BSD-2-Clause,0,1,3,0
pyramid,1.3a2,Pre-release,2011-12-14,BSD-2-Clause,0,0,2,0
pyramid,1.3a1,Pre-release,2011-12-09,BSD-2-Clause,0,0,2,0
pyramid,1.2.4,,2011-12-06,BSD-2-Clause,0,0,3,0
pyramid,1.2.3,,2011-11-21,BSD-2-Clause,0,0,3,0
pyramid,1.2.2,,2011-11-20,BSD-2-Clause,0,0,3,0
pyramid,1.2.1,,2011-09-28,BSD-2-Clause,0,0,3,0
pyramid,1.2,,2011-09-13,BSD-2-Clause,0,0,3,0
pyramid,1.2b3,Pre-release,2011-09-11,BSD-2-Clause,0,0,3,0
pyramid,1.2b2,Pre-release,2011-09-08,BSD-2-Clause,0,0,3,0
pyramid,1.2b1,Pre-release,2011-09-08,BSD-2-Clause,0,0,3,0
pyramid,1.2a6,Pre-release,2011-09-07,BSD-2-Clause,0,0,3,0
pyramid,1.2a5,Pre-release,2011-09-04,BSD-2-Clause,0,0,3,0
pyramid,1.2a4,Pre-release,2011-09-02,BSD-2-Clause,0,0,3,0
pyramid,1.2a3,Pre-release,2011-08-29,BSD-2-Clause,0,0,3,0
pyramid,1.2a2,Pre-release,2011-08-27,BSD-2-Clause,0,0,3,0
pyramid,1.2a1,Pre-release,2011-08-24,BSD-2-Clause,0,0,3,0
pyramid,1.1.2,,2011-08-17,BSD-2-Clause,0,0,3,0
pyramid,1.1.1,,2011-08-13,BSD-2-Clause,0,0,3,0
pyramid,1.0.1,,2011-08-13,BSD-2-Clause,0,1,3,0
pyramid,1.1,,2011-07-22,BSD-2-Clause,0,0,3,0
pyramid,1.1b4,Pre-release,2011-07-18,BSD-2-Clause,0,0,3,0
pyramid,1.1b3,Pre-release,2011-07-15,BSD-2-Clause,0,0,3,0
pyramid,1.1b2,Pre-release,2011-07-13,BSD-2-Clause,0,0,3,0
pyramid,1.1b1,Pre-release,2011-07-10,BSD-2-Clause,0,0,3,0
pyramid,1.1a4,Pre-release,2011-07-01,BSD-2-Clause,0,0,3,0
pyramid,1.1a3,Pre-release,2011-06-26,BSD-2-Clause,0,0,3,0
pyramid,1.1a2,Pre-release,2011-06-23,BSD-2-Clause,0,0,3,0
pyramid,1.1a1,Pre-release,2011-06-20,BSD-2-Clause,0,0,3,0
pyramid,1,,2011-01-31,BSD-2-Clause,0,1,3,0
pyramid,1.0b3,Pre-release,2011-01-28,BSD-2-Clause,0,1,3,0
pyramid,1.0b2,Pre-release,2011-01-25,BSD-2-Clause,0,1,3,0
pyramid,1.0b1,Pre-release,2011-01-22,BSD-2-Clause,0,1,3,0
pyramid,1.0a10,Pre-release,2011-01-18,BSD-2-Clause,0,1,4,0
pyramid,1.0a9,Pre-release,2011-01-08,BSD-2-Clause,0,1,3,0
pyramid,1.0a8,Pre-release,2010-12-27,BSD-2-Clause,0,1,3,0
pyramid,1.0a7,Pre-release,2010-12-20,BSD-2-Clause,0,1,3,0
pyramid,1.0a6,Pre-release,2010-12-16,BSD-2-Clause,0,1,3,0
pyramid,1.0a5,Pre-release,2010-12-15,BSD-2-Clause,0,1,3,0
pyramid,1.0a4,Pre-release,2010-11-21,BSD-2-Clause,0,1,3,0
pyramid,1.0a3,Pre-release,2010-11-16,BSD-2-Clause,0,1,3,0
pyramid,1.0a2,Pre-release,2010-11-09,BSD-2-Clause,0,1,4,0
pyramid,1.0a1,Pre-release,2010-11-05,BSD-2-Clause,0,1,4,0
tensorflow-cpu,2.7.0rc0,Pre-release,2021-10-08,Apache-2.0,0,0,0,0
tensorflow-cpu,2.6.0,Latest,2021-08-11,Apache-2.0,0,0,0,0
tensorflow-cpu,2.4.3,,2021-08-10,Apache-2.0,0,0,1,0
tensorflow-cpu,2.5.1,,2021-08-10,Apache-2.0,0,0,0,0
tensorflow-cpu,2.3.4,,2021-08-10,Apache-2.0,0,0,2,0
tensorflow-cpu,2.2.3,,2021-06-15,Apache-2.0,1,13,15,1
tensorflow-cpu,2.4.2,,2021-06-15,Apache-2.0,1,13,15,1
tensorflow-cpu,2.3.3,,2021-06-15,Apache-2.0,1,13,15,1
tensorflow-cpu,2.1.4,,2021-06-15,Apache-2.0,1,13,15,1
tensorflow-cpu,2.5.0,,2021-05-13,Apache-2.0,1,13,15,1
tensorflow-cpu,2.4.1,,2021-01-21,Apache-2.0,1,13,15,1
tensorflow-cpu,2.3.2,,2021-01-06,Apache-2.0,1,13,15,1
tensorflow-cpu,2.2.2,,2021-01-06,Apache-2.0,1,13,15,1
tensorflow-cpu,2.1.3,,2021-01-06,Apache-2.0,1,13,15,1
tensorflow-cpu,2.4.0,,2020-12-14,Apache-2.0,1,13,15,1
tensorflow-cpu,2.3.1,,2020-09-24,Apache-2.0,1,13,15,1
tensorflow-cpu,2.2.1,,2020-09-24,Apache-2.0,1,13,15,1
tensorflow-cpu,2.1.2,,2020-09-24,Apache-2.0,1,13,15,1
tensorflow-cpu,2.3.0,,2020-07-27,Apache-2.0,1,13,15,1
tensorflow-cpu,2.1.1,,2020-05-18,Apache-2.0,1,13,15,1
tensorflow-cpu,2.2.0,,2020-05-07,Apache-2.0,1,13,15,1
tensorflow-cpu,2.1.0,,2020-01-08,Apache-2.0,1,13,15,1
tensorflow-cpu,1.15.0,,2019-10-16,Apache-2.0,1,13,15,1
tensorflow,2.7.0rc0,Pre-release,2021-10-07,Apache-2.0,0,0,0,0
tensorflow,2.6.0,Latest,2021-08-11,Apache-2.0,0,0,0,0
tensorflow,2.4.3,,2021-08-10,Apache-2.0,0,0,1,0
tensorflow,2.5.1,,2021-08-10,Apache-2.0,0,0,0,0
tensorflow,2.3.4,,2021-08-10,Apache-2.0,0,0,2,0
tensorflow,2.6.0rc2,Pre-release,2021-08-04,Apache-2.0,0,0,1,0
tensorflow,2.6.0rc1,Pre-release,2021-07-13,Apache-2.0,0,0,1,0
tensorflow,2.6.0rc0,Pre-release,2021-06-29,Apache-2.0,0,0,1,0
tensorflow,2.4.2,,2021-06-15,Apache-2.0,1,13,15,1
tensorflow,2.2.3,,2021-06-15,Apache-2.0,1,13,15,1
tensorflow,2.3.3,,2021-06-15,Apache-2.0,1,13,15,1
tensorflow,2.1.4,,2021-06-15,Apache-2.0,1,13,15,1
tensorflow,2.5.0,,2021-05-13,Apache-2.0,1,13,15,1
tensorflow,2.5.0rc3,Pre-release,2021-05-05,Apache-2.0,0,0,1,0
tensorflow,2.5.0rc2,Pre-release,2021-04-27,Apache-2.0,0,0,1,0
tensorflow,2.5.0rc1,Pre-release,2021-04-13,Apache-2.0,0,0,1,0
tensorflow,2.5.0rc0,Pre-release,2021-04-01,Apache-2.0,0,0,1,0
tensorflow,2.4.1,,2021-01-21,Apache-2.0,1,13,15,1
tensorflow,1.15.5,,2021-01-06,Apache-2.0,1,13,15,1
tensorflow,2.0.4,,2021-01-06,Apache-2.0,1,13,15,1
tensorflow,2.3.2,,2021-01-06,Apache-2.0,1,13,15,1
tensorflow,2.2.2,,2021-01-06,Apache-2.0,1,13,15,1
tensorflow,2.1.3,,2021-01-06,Apache-2.0,1,13,15,1
tensorflow,2.4.0,,2020-12-14,Apache-2.0,1,13,15,1
tensorflow,2.4.0rc4,Pre-release,2020-12-04,Apache-2.0,0,0,2,0
tensorflow,2.4.0rc3,Pre-release,2020-11-24,Apache-2.0,0,0,2,0
tensorflow,2.4.0rc2,Pre-release,2020-11-18,Apache-2.0,0,0,2,0
tensorflow,2.4.0rc1,Pre-release,2020-11-09,Apache-2.0,0,0,2,0
tensorflow,2.4.0rc0,Pre-release,2020-11-02,Apache-2.0,0,0,2,0
tensorflow,2.3.1,,2020-09-24,Apache-2.0,1,13,15,1
tensorflow,2.2.1,,2020-09-24,Apache-2.0,1,13,15,1
tensorflow,2.1.2,,2020-09-24,Apache-2.0,1,13,15,1
tensorflow,2.0.3,,2020-09-24,Apache-2.0,1,13,15,1
tensorflow,1.15.4,,2020-09-24,Apache-2.0,1,13,15,1
tensorflow,2.3.0,,2020-07-27,Apache-2.0,1,13,15,1
tensorflow,2.3.0rc2,Pre-release,2020-07-18,Apache-2.0,1,13,15,1
tensorflow,2.3.0rc1,Pre-release,2020-07-09,Apache-2.0,1,13,15,1
tensorflow,2.3.0rc0,Pre-release,2020-06-26,Apache-2.0,1,13,15,1
tensorflow,2.1.1,,2020-05-18,Apache-2.0,1,13,15,1
tensorflow,2.0.2,,2020-05-18,Apache-2.0,1,13,15,1
tensorflow,1.15.3,,2020-05-18,Apache-2.0,1,13,15,1
tensorflow,2.2.0,,2020-05-07,Apache-2.0,1,13,15,1
tensorflow,2.2.0rc4,Pre-release,2020-04-30,Apache-2.0,1,13,15,1
tensorflow,2.2.0rc3,Pre-release,2020-04-14,Apache-2.0,1,13,15,1
tensorflow,2.2.0rc2,Pre-release,2020-03-27,Apache-2.0,1,13,15,1
tensorflow,2.2.0rc1,Pre-release,2020-03-19,Apache-2.0,1,13,15,1
tensorflow,2.2.0rc0,Pre-release,2020-03-10,Apache-2.0,1,13,15,1
tensorflow,1.15.2,,2020-01-26,Apache-2.0,1,13,15,1
tensorflow,2.0.1,,2020-01-26,Apache-2.0,1,13,15,1
tensorflow,2.1.0,,2020-01-08,Apache-2.0,1,13,15,1
tensorflow,2.1.0rc2,Pre-release,2019-12-23,Apache-2.0,1,13,15,1
tensorflow,2.1.0rc1,Pre-release,2019-12-11,Apache-2.0,1,13,15,1
tensorflow,2.1.0rc0,Pre-release,2019-11-27,Apache-2.0,1,13,15,1
tensorflow,1.15.0,,2019-10-16,Apache-2.0,1,13,15,1
tensorflow,1.15.0rc3,Pre-release,2019-10-08,Apache-2.0,1,13,15,1
tensorflow,1.15.0rc2,Pre-release,2019-10-01,Apache-2.0,1,13,15,1
tensorflow,2.0.0,,2019-09-30,Apache-2.0,1,13,15,1
tensorflow,2.0.0rc2,Pre-release,2019-09-23,Apache-2.0,1,13,15,1
tensorflow,1.15.0rc1,Pre-release,2019-09-17,Apache-2.0,1,13,15,1
tensorflow,2.0.0rc1,Pre-release,2019-09-11,Apache-2.0,1,13,15,1
tensorflow,1.15.0rc0,Pre-release,2019-09-10,Apache-2.0,1,13,15,1
tensorflow,2.0.0rc0,Pre-release,2019-08-23,Apache-2.0,1,13,15,1
tensorflow,1.13.2,,2019-07-16,Apache-2.0,1,13,15,1
tensorflow,1.12.3,,2019-06-21,Apache-2.0,1,13,15,1
tensorflow,1.14.0,,2019-06-19,Apache-2.0,1,13,15,1
tensorflow,2.0.0b1,Pre-release,2019-06-14,Apache-2.0,1,13,15,1
tensorflow,1.14.0rc1,Pre-release,2019-06-08,Apache-2.0,1,13,15,1
tensorflow,2.0.0b0,Pre-release,2019-06-07,Apache-2.0,1,13,15,1
tensorflow,1.14.0rc0,Pre-release,2019-05-25,Apache-2.0,1,13,15,1
tensorflow,1.12.2,,2019-04-18,Apache-2.0,1,13,15,1
tensorflow,2.0.0a0,Pre-release,2019-03-06,Apache-2.0,1,13,15,1
tensorflow,1.13.1,,2019-02-26,Apache-2.0,1,13,15,1
tensorflow,1.13.0rc2,Pre-release,2019-02-15,Apache-2.0,1,13,15,1
tensorflow,1.13.0rc1,Pre-release,2019-02-07,Apache-2.0,1,13,15,1
tensorflow,1.13.0rc0,Pre-release,2019-01-23,Apache-2.0,1,13,15,1
tensorflow,1.12.0,,2018-11-06,Apache-2.0,1,13,15,1
tensorflow,1.12.0rc2,Pre-release,2018-10-26,Apache-2.0,1,13,15,1
tensorflow,1.12.0rc1,Pre-release,2018-10-17,Apache-2.0,1,13,15,1
tensorflow,1.12.0rc0,Pre-release,2018-10-09,Apache-2.0,1,13,15,1
tensorflow,1.11.0,,2018-09-27,Apache-2.0,1,13,15,1
tensorflow,1.11.0rc2,Pre-release,2018-09-22,Apache-2.0,1,13,15,1
tensorflow,1.11.0rc1,Pre-release,2018-09-17,Apache-2.0,1,13,15,1
tensorflow,1.11.0rc0,Pre-release,2018-09-13,Apache-2.0,1,13,15,1
tensorflow,1.10.1,,2018-08-24,Apache-2.0,1,13,15,1
tensorflow,1.10.0,,2018-08-08,Apache-2.0,1,13,15,1
tensorflow,1.10.0rc1,Pre-release,2018-07-31,Apache-2.0,1,13,15,1
tensorflow,1.10.0rc0,Pre-release,2018-07-23,Apache-2.0,1,13,15,1
tensorflow,1.9.0,,2018-07-10,Apache-2.0,1,13,15,1
tensorflow,1.9.0rc2,Pre-release,2018-07-02,Apache-2.0,1,13,15,1
tensorflow,1.9.0rc1,Pre-release,2018-06-15,Apache-2.0,1,13,15,1
tensorflow,1.9.0rc0,Pre-release,2018-06-07,Apache-2.0,1,13,15,1
tensorflow,1.7.1,,2018-05-08,Apache-2.0,1,13,15,1
tensorflow,1.8.0,,2018-04-28,Apache-2.0,1,13,15,1
tensorflow,1.8.0rc1,Pre-release,2018-04-20,Apache-2.0,1,13,15,1
tensorflow,1.8.0rc0,Pre-release,2018-04-13,Apache-2.0,1,13,15,1
tensorflow,1.7.0,,2018-03-29,Apache-2.0,1,13,15,1
tensorflow,1.7.0rc1,Pre-release,2018-03-23,Apache-2.0,1,13,15,1
tensorflow,1.5.1,,2018-03-20,Apache-2.0,1,13,15,1
tensorflow,1.7.0rc0,Pre-release,2018-03-14,Apache-2.0,1,13,15,1
tensorflow,1.6.0,,2018-03-01,Apache-2.0,1,13,15,1
tensorflow,1.6.0rc1,Pre-release,2018-02-14,Apache-2.0,1,13,15,1
tensorflow,1.6.0rc0,Pre-release,2018-02-05,Apache-2.0,1,13,15,1
tensorflow,1.5.0,,2018-01-26,Apache-2.0,1,13,15,1
tensorflow,1.5.0rc1,Pre-release,2018-01-13,Apache-2.0,1,13,15,1
tensorflow,1.5.0rc0,Pre-release,2018-01-04,Apache-2.0,1,13,15,1
tensorflow,1.4.1,,2017-12-08,Apache-2.0,1,13,15,1
tensorflow,1.4.0,,2017-11-01,Apache-2.0,1,13,15,1
tensorflow,1.4.0rc1,Pre-release,2017-10-23,Apache-2.0,1,13,15,1
tensorflow,1.4.0rc0,Pre-release,2017-10-11,Apache-2.0,1,13,15,1
tensorflow,1.3.0,,2017-08-16,Apache-2.0,1,13,15,1
tensorflow,1.3.0rc2,Pre-release,2017-08-04,Apache-2.0,1,13,15,1
tensorflow,1.3.0rc1,Pre-release,2017-07-27,Apache-2.0,1,13,15,1
tensorflow,1.3.0rc0,Pre-release,2017-07-19,Apache-2.0,1,13,15,1
